fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Abusupyian Magomedov,Michal Oleksiejczuk,BetOnline.ag,Under,1.5,2.2,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,1xBet,Over,1.5,1.77,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,1xBet,Under,1.5,2.0,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,Pinnacle,Over,1.5,1.76,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,Pinnacle,Under,1.5,2.08,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,Coolbet,Over,1.5,1.75,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,Coolbet,Under,1.5,2.12,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,PMU (FR),Over,1.5,1.72,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,PMU (FR),Under,1.5,2.05,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,BetOnline.ag,Over,1.5,1.54,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,BetOnline.ag,Under,1.5,2.61,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,1xBet,Over,2.5,2.08,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,1xBet,Under,2.5,1.7,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,Pinnacle,Over,1.5,1.52,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,Pinnacle,Under,1.5,2.56,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,Coolbet,Over,1.5,1.53,2026-06-23,2026-06-27
Nursultan Ruziboev,Andrey Pulyaev,Coolbet,Under,1.5,2.58,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,BetOnline.ag,Over,2.5,1.43,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,BetOnline.ag,Under,2.5,2.93,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,1xBet,Over,2.5,1.36,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,1xBet,Under,2.5,3.0,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,Pinnacle,Over,2.5,1.42,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,Pinnacle,Under,2.5,2.91,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,Coolbet,Over,2.5,1.43,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,Coolbet,Under,2.5,2.93,2026-06-23,2026-06-27
